"user_id","feature","efficiency","consumables","comparison","time","driving_hours","driving_distance"
"VIN1001","新手摸索（启停不均）","18.2 kWh/100km","SOH当前为97.1%","能耗处于全国平均水平","2025-01","32.5","820"
"VIN1001","舒适为主（常开大功率空调）","17.7 kWh/100km","SOH当前为97.0%","能耗处于全国平均水平","2025-02","28.3","710"
"VIN1001","极限区域（高海拔/极寒驾驶）","20.4 kWh/100km","SOH当前为97.0%","能耗高于全国 92% 的同型号车主","2025-03","35.1","890"
"VIN1001","极致省电（动能回收最高）","12.1 kWh/100km","SOH当前为96.9%","能耗击败了全国 97% 的同型号车主","2025-04","45.2","1320"
"VIN1001","高速巡航（长途驾驶）","17.2 kWh/100km","SOH当前为96.6%","能耗处于全国平均水平","2025-05","52.8","1680"
"VIN1001","舒适为主（常开大功率空调）","15.5 kWh/100km","SOH当前为96.8%","能耗处于全国平均水平","2025-06","48.6","1450"
"VIN1001","激进驾驶（频繁急加速）","22.8 kWh/100km","SOH当前为96.7%","能耗高于全国 95% 的同型号车主","2025-07","55.3","1590"
"VIN1001","新手摸索（启停不均）","15.4 kWh/100km","SOH当前为96.2%","能耗处于全国平均水平","2025-08","42.1","1180"
"VIN1001","舒适为主（常开大功率空调）","16.7 kWh/100km","SOH当前为96.4%","能耗处于全国平均水平","2025-09","38.7","1050"
"VIN1001","高速巡航（长途驾驶）","17.3 kWh/100km","SOH当前为96.5%","能耗处于全国平均水平","2025-10","50.4","1620"
"VIN1001","极致省电（动能回收最高）","13.9 kWh/100km","SOH当前为95.8%","能耗击败了全国 91% 的同型号车主","2025-11","30.2","880"
"VIN1001","高速巡航（长途驾驶）","20.2 kWh/100km","SOH当前为95.8%","能耗高于全国 85% 的同型号车主","2025-12","25.6","650"
"VIN1002","高速巡航（长途驾驶）","20.7 kWh/100km","SOH当前为97.6%","能耗高于全国 87% 的同型号车主","2025-01","38.4","1250"
"VIN1002","高速巡航（长途驾驶）","20.6 kWh/100km","SOH当前为97.5%","能耗高于全国 91% 的同型号车主","2025-02","35.7","1180"
"VIN1002","高速巡航（长途驾驶）","18.5 kWh/100km","SOH当前为97.4%","能耗处于全国平均水平","2025-03","42.3","1390"
"VIN1002","高速巡航（长途驾驶）","18.2 kWh/100km","SOH当前为97.3%","能耗处于全国平均水平","2025-04","48.9","1520"
"VIN1002","平稳驾驶（均速驾驶为主）","16.2 kWh/100km","SOH当前为97.1%","能耗处于全国平均水平","2025-05","55.1","1750"
"VIN1002","舒适为主（常开大功率空调）","15.7 kWh/100km","SOH当前为96.9%","能耗处于全国平均水平","2025-06","50.3","1480"
"VIN1002","新手摸索（启停不均）","17.3 kWh/100km","SOH当前为96.7%","能耗处于全国平均水平","2025-07","58.2","1620"
"VIN1002","极致省电（动能回收最高）","13.1 kWh/100km","SOH当前为97.2%","能耗击败了全国 92% 的同型号车主","2025-08","45.6","1350"
"VIN1002","新手摸索（启停不均）","16.4 kWh/100km","SOH当前为96.7%","能耗处于全国平均水平","2025-09","40.8","1120"
"VIN1002","新手摸索（启停不均）","16.7 kWh/100km","SOH当前为97.1%","能耗处于全国平均水平","2025-10","43.5","1280"
"VIN1002","新手摸索（启停不均）","17.4 kWh/100km","SOH当前为96.4%","能耗处于全国平均水平","2025-11","33.9","920"
"VIN1002","新手摸索（启停不均）","18.4 kWh/100km","SOH当前为96.1%","能耗处于全国平均水平","2025-12","27.4","680"
"VIN1003","舒适为主（常开大功率空调）","17.7 kWh/100km","SOH当前为97.6%","能耗处于全国平均水平","2025-01","30.8","840"
"VIN1003","舒适为主（常开大功率空调）","17.6 kWh/100km","SOH当前为97.5%","能耗处于全国平均水平","2025-02","29.1","760"
"VIN1003","激进驾驶（频繁急加速）","22.5 kWh/100km","SOH当前为97.5%","能耗高于全国 92% 的同型号车主","2025-03","40.5","1150"
"VIN1003","舒适为主（常开大功率空调）","17.4 kWh/100km","SOH当前为97.3%","能耗处于全国平均水平","2025-04","46.3","1380"
"VIN1003","激进驾驶（频繁急加速）","21.5 kWh/100km","SOH当前为97.2%","能耗高于全国 97% 的同型号车主","2025-05","53.7","1520"
"VIN1003","极致省电（动能回收最高）","14.3 kWh/100km","SOH当前为96.9%","能耗击败了全国 88% 的同型号车主","2025-06","47.8","1410"
"VIN1003","平稳驾驶（均速驾驶为主）","16.9 kWh/100km","SOH当前为96.9%","能耗处于全国平均水平","2025-07","56.4","1650"
"VIN1003","舒适为主（常开大功率空调）","16.5 kWh/100km","SOH当前为96.7%","能耗处于全国平均水平","2025-08","44.2","1290"
"VIN1003","极致省电（动能回收最高）","13.5 kWh/100km","SOH当前为97.1%","能耗击败了全国 87% 的同型号车主","2025-09","39.5","1080"
"VIN1003","平稳驾驶（均速驾驶为主）","16.4 kWh/100km","SOH当前为96.5%","能耗处于全国平均水平","2025-10","42.8","1240"
"VIN1003","激进驾驶（频繁急加速）","24.0 kWh/100km","SOH当前为96.5%","能耗高于全国 90% 的同型号车主","2025-11","35.6","990"
"VIN1003","常规通勤（拥堵路段偏多）","17.5 kWh/100km","SOH当前为97.1%","能耗处于全国平均水平","2025-12","26.3","620"
"VIN1004","高速巡航（长途驾驶）","21.0 kWh/100km","SOH当前为97.3%","能耗高于全国 97% 的同型号车主","2025-01","36.2","1180"
"VIN1004","新手摸索（启停不均）","17.1 kWh/100km","SOH当前为97.2%","能耗处于全国平均水平","2025-02","31.5","850"
"VIN1004","高速巡航（长途驾驶）","19.3 kWh/100km","SOH当前为97.1%","能耗处于全国平均水平","2025-03","44.1","1420"
"VIN1004","新手摸索（启停不均）","15.6 kWh/100km","SOH当前为96.9%","能耗处于全国平均水平","2025-04","47.5","1350"
"VIN1004","新手摸索（启停不均）","15.5 kWh/100km","SOH当前为97.1%","能耗处于全国平均水平","2025-05","52.3","1580"
"VIN1004","新手摸索（启停不均）","15.8 kWh/100km","SOH当前为96.6%","能耗处于全国平均水平","2025-06","49.7","1460"
"VIN1004","极限区域（高海拔/极寒驾驶）","22.6 kWh/100km","SOH当前为96.9%","能耗高于全国 93% 的同型号车主","2025-07","57.8","1710"
"VIN1004","极限区域（高海拔/极寒驾驶）","21.4 kWh/100km","SOH当前为96.8%","能耗高于全国 97% 的同型号车主","2025-08","43.6","1270"
"VIN1004","激进驾驶（频繁急加速）","21.0 kWh/100km","SOH当前为96.5%","能耗高于全国 88% 的同型号车主","2025-09","38.9","1090"
"VIN1004","极致省电（动能回收最高）","13.4 kWh/100km","SOH当前为96.4%","能耗击败了全国 99% 的同型号车主","2025-10","41.2","1200"
"VIN1004","极致省电（动能回收最高）","14.1 kWh/100km","SOH当前为96.5%","能耗击败了全国 98% 的同型号车主","2025-11","32.4","910"
"VIN1004","激进驾驶（频繁急加速）","23.4 kWh/100km","SOH当前为95.7%","能耗高于全国 90% 的同型号车主","2025-12","24.8","580"
"VIN1005","激进驾驶（频繁急加速）","23.7 kWh/100km","SOH当前为99.9%","能耗高于全国 96% 的同型号车主","2025-01","34.7","950"
"VIN1005","常规通勤（拥堵路段偏多）","18.5 kWh/100km","SOH当前为99.8%","能耗处于全国平均水平","2025-02","30.2","780"
"VIN1005","高速巡航（长途驾驶）","18.3 kWh/100km","SOH当前为99.7%","能耗处于全国平均水平","2025-03","41.8","1350"
"VIN1005","激进驾驶（频繁急加速）","19.1 kWh/100km","SOH当前为99.7%","能耗处于全国平均水平","2025-04","49.3","1480"
"VIN1005","极致省电（动能回收最高）","13.6 kWh/100km","SOH当前为99.5%","能耗击败了全国 92% 的同型号车主","2025-05","54.6","1720"
"VIN1005","舒适为主（常开大功率空调）","17.2 kWh/100km","SOH当前为99.2%","能耗处于全国平均水平","2025-06","50.1","1490"
"VIN1005","极致省电（动能回收最高）","14.1 kWh/100km","SOH当前为99.4%","能耗击败了全国 96% 的同型号车主","2025-07","58.9","1780"
"VIN1005","新手摸索（启停不均）","17.2 kWh/100km","SOH当前为98.8%","能耗处于全国平均水平","2025-08","44.5","1300"
"VIN1005","平稳驾驶（均速驾驶为主）","17.0 kWh/100km","SOH当前为99.1%","能耗处于全国平均水平","2025-09","40.3","1150"
"VIN1005","极致省电（动能回收最高）","14.4 kWh/100km","SOH当前为98.7%","能耗击败了全国 90% 的同型号车主","2025-10","43.1","1260"
"VIN1005","常规通勤（拥堵路段偏多）","17.5 kWh/100km","SOH当前为99.1%","能耗处于全国平均水平","2025-11","34.2","950"
"VIN1005","平稳驾驶（均速驾驶为主）","18.3 kWh/100km","SOH当前为98.6%","能耗处于全国平均水平","2025-12","26.8","680"
"VIN1006","新手摸索（启停不均）","16.8 kWh/100km","SOH当前为99.6%","能耗处于全国平均水平","2025-01","33.5","890"
"VIN1006","极限区域（高海拔/极寒驾驶）","23.1 kWh/100km","SOH当前为99.5%","能耗高于全国 97% 的同型号车主","2025-02","27.8","720"
"VIN1006","常规通勤（拥堵路段偏多）","16.5 kWh/100km","SOH当前为99.4%","能耗处于全国平均水平","2025-03","39.6","1080"
"VIN1006","舒适为主（常开大功率空调）","16.2 kWh/100km","SOH当前为99.1%","能耗处于全国平均水平","2025-04","47.2","1400"
"VIN1006","极致省电（动能回收最高）","13.9 kWh/100km","SOH当前为99.2%","能耗击败了全国 86% 的同型号车主","2025-05","53.4","1650"
"VIN1006","极限区域（高海拔/极寒驾驶）","21.1 kWh/100km","SOH当前为98.9%","能耗高于全国 99% 的同型号车主","2025-06","48.9","1380"
"VIN1006","舒适为主（常开大功率空调）","15.2 kWh/100km","SOH当前为98.9%","能耗处于全国平均水平","2025-07","57.1","1690"
"VIN1006","高速巡航（长途驾驶）","18.3 kWh/100km","SOH当前为98.7%","能耗处于全国平均水平","2025-08","43.8","1310"
"VIN1006","极限区域（高海拔/极寒驾驶）","22.2 kWh/100km","SOH当前为98.5%","能耗高于全国 85% 的同型号车主","2025-09","37.4","1020"
"VIN1006","高速巡航（长途驾驶）","17.4 kWh/100km","SOH当前为98.5%","能耗处于全国平均水平","2025-10","44.6","1350"
"VIN1006","高速巡航（长途驾驶）","20.5 kWh/100km","SOH当前为98.1%","能耗高于全国 94% 的同型号车主","2025-11","31.7","870"
"VIN1006","激进驾驶（频繁急加速）","24.4 kWh/100km","SOH当前为98.3%","能耗高于全国 87% 的同型号车主","2025-12","25.3","610"
"VIN1007","新手摸索（启停不均）","17.9 kWh/100km","SOH当前为99.0%","能耗处于全国平均水平","2025-01","31.6","830"
"VIN1007","舒适为主（常开大功率空调）","19.3 kWh/100km","SOH当前为98.9%","能耗处于全国平均水平","2025-02","28.9","740"
"VIN1007","极限区域（高海拔/极寒驾驶）","22.7 kWh/100km","SOH当前为98.8%","能耗高于全国 93% 的同型号车主","2025-03","38.3","1050"
"VIN1007","激进驾驶（频繁急加速）","20.9 kWh/100km","SOH当前为98.8%","能耗高于全国 85% 的同型号车主","2025-04","46.7","1380"
"VIN1007","新手摸索（启停不均）","16.6 kWh/100km","SOH当前为98.8%","能耗处于全国平均水平","2025-05","51.9","1560"
"VIN1007","激进驾驶（频繁急加速）","19.0 kWh/100km","SOH当前为98.3%","能耗处于全国平均水平","2025-06","49.5","1430"
"VIN1007","平稳驾驶（均速驾驶为主）","16.8 kWh/100km","SOH当前为98.7%","能耗处于全国平均水平","2025-07","56.7","1680"
"VIN1007","激进驾驶（频繁急加速）","21.8 kWh/100km","SOH当前为98.0%","能耗高于全国 85% 的同型号车主","2025-08","45.1","1340"
"VIN1007","极限区域（高海拔/极寒驾驶）","21.6 kWh/100km","SOH当前为97.9%","能耗高于全国 93% 的同型号车主","2025-09","39.2","1100"
"VIN1007","激进驾驶（频繁急加速）","23.2 kWh/100km","SOH当前为98.5%","能耗高于全国 86% 的同型号车主","2025-10","42.4","1220"
"VIN1007","舒适为主（常开大功率空调）","17.7 kWh/100km","SOH当前为98.3%","能耗处于全国平均水平","2025-11","33.1","900"
"VIN1007","激进驾驶（频繁急加速）","24.5 kWh/100km","SOH当前为97.8%","能耗高于全国 98% 的同型号车主","2025-12","24.5","570"
"VIN1008","极限区域（高海拔/极寒驾驶）","25.8 kWh/100km","SOH当前为98.2%","能耗高于全国 94% 的同型号车主","2025-01","29.4","750"
"VIN1008","高速巡航（长途驾驶）","21.7 kWh/100km","SOH当前为98.2%","能耗高于全国 95% 的同型号车主","2025-02","32.6","980"
"VIN1008","平稳驾驶（均速驾驶为主）","16.7 kWh/100km","SOH当前为98.0%","能耗处于全国平均水平","2025-03","43.7","1320"
"VIN1008","激进驾驶（频繁急加速）","20.7 kWh/100km","SOH当前为97.8%","能耗高于全国 94% 的同型号车主","2025-04","48.2","1430"
"VIN1008","激进驾驶（频繁急加速）","20.5 kWh/100km","SOH当前为97.7%","能耗高于全国 91% 的同型号车主","2025-05","54.8","1680"
"VIN1008","极致省电（动能回收最高）","13.1 kWh/100km","SOH当前为97.8%","能耗击败了全国 99% 的同型号车主","2025-06","47.3","1390"
"VIN1008","新手摸索（启停不均）","16.1 kWh/100km","SOH当前为97.8%","能耗处于全国平均水平","2025-07","55.6","1600"
"VIN1008","高速巡航（长途驾驶）","19.9 kWh/100km","SOH当前为97.2%","能耗处于全国平均水平","2025-08","46.2","1410"
"VIN1008","舒适为主（常开大功率空调）","17.4 kWh/100km","SOH当前为97.6%","能耗处于全国平均水平","2025-09","38.5","1060"
"VIN1008","极限区域（高海拔/极寒驾驶）","23.3 kWh/100km","SOH当前为97.3%","能耗高于全国 91% 的同型号车主","2025-10","41.9","1190"
"VIN1008","激进驾驶（频繁急加速）","23.5 kWh/100km","SOH当前为97.3%","能耗高于全国 95% 的同型号车主","2025-11","34.5","960"
"VIN1008","极致省电（动能回收最高）","16.9 kWh/100km","SOH当前为97.7%","能耗处于全国平均水平","2025-12","23.7","550"
"VIN1009","极限区域（高海拔/极寒驾驶）","23.3 kWh/100km","SOH当前为99.7%","能耗高于全国 86% 的同型号车主","2025-01","35.1","960"
"VIN1009","极致省电（动能回收最高）","16.1 kWh/100km","SOH当前为99.7%","能耗处于全国平均水平","2025-02","29.8","790"
"VIN1009","激进驾驶（频繁急加速）","23.7 kWh/100km","SOH当前为99.5%","能耗高于全国 90% 的同型号车主","2025-03","41.2","1180"
"VIN1009","平稳驾驶（均速驾驶为主）","15.4 kWh/100km","SOH当前为99.5%","能耗处于全国平均水平","2025-04","48.6","1460"
"VIN1009","平稳驾驶（均速驾驶为主）","15.3 kWh/100km","SOH当前为99.1%","能耗处于全国平均水平","2025-05","53.2","1640"
"VIN1009","激进驾驶（频繁急加速）","19.5 kWh/100km","SOH当前为99.2%","能耗处于全国平均水平","2025-06","49.7","1450"
"VIN1009","激进驾驶（频繁急加速）","20.8 kWh/100km","SOH当前为99.4%","能耗高于全国 93% 的同型号车主","2025-07","57.3","1720"
"VIN1009","极限区域（高海拔/极寒驾驶）","19.5 kWh/100km","SOH当前为98.7%","能耗处于全国平均水平","2025-08","44.8","1290"
"VIN1009","极限区域（高海拔/极寒驾驶）","23.4 kWh/100km","SOH当前为99.2%","能耗高于全国 91% 的同型号车主","2025-09","37.6","1030"
"VIN1009","新手摸索（启停不均）","16.3 kWh/100km","SOH当前为99.1%","能耗处于全国平均水平","2025-10","42.9","1250"
"VIN1009","平稳驾驶（均速驾驶为主）","17.8 kWh/100km","SOH当前为98.9%","能耗处于全国平均水平","2025-11","33.4","920"
"VIN1009","常规通勤（拥堵路段偏多）","18.7 kWh/100km","SOH当前为98.7%","能耗处于全国平均水平","2025-12","25.9","640"
